"video_id","titulo","canal","pais_id","fecha_publicacion","fecha_snapshot","vistas","likes","comentarios","duracion_min","categoria_id"
"Cu6CEoXhQlA","Romeo Santos - Necio (Letra)","Harmony Lyrics",3,"2026-01-03","2026-01-12",36451,55,3,"4.42",22
"MMbCcZ_oa2M","AVENGERS: DOOMSDAY (2026) | Fantastic 4 & Wakandans Trailer | Marvel Comics | Concept","TeaserCon",3,"2026-01-11","2026-01-12",124393,1240,51,"1.15",1
"uVGvumlS_MY","NUNCA JUEGUES la TORRE TROLL de STRANGER THINGS en Roblox","Lyna",3,"2026-01-11","2026-01-12",184704,3206,385,"17.9",20
"C159tAx3WvE","Tainy, Anuel AA, Ozuna - Adicto (Letra)","Urban Fest",3,"2026-01-11","2026-01-12",17898,69,0,"4.68",22
"PBjxFUgzl_o","Tobey Maguire en Avengers Doomsday I Loki protagonista I Trailer Final podría arreglar las cosas...","Somos Geeks",3,"2026-01-11","2026-01-12",97731,3829,261,"17.78",1
"xktwUbS981Y","Viviendo como ZOMBIE BEBÉ en Minecraft!","Awita",3,"2026-01-11","2026-01-12",142505,4833,523,"28.68",20
"lUF8_UNgJ0M","Jesse & Joy - Dueles (Letra)","Aquarius Reggaeton",3,"2026-01-10","2026-01-12",108726,293,2,"4.13",10
"ThCDAkRMWPk","1006 ESTA AQUI!!! - Poppy Playtime Capitulo 5 Trailer - Analisis y Reaccion","ÑeBoyGamer",3,"2026-01-10","2026-01-12",133404,8729,1408,"14.85",20
"NypCUh8l7_w","Encontramos un MULTIPLICADOR de DIAMANTES en Minecraft!","Dagar",3,"2026-01-11","2026-01-12",350556,5607,429,"23.58",20
"zMCUDwPLJII","Wisin & Yandel, Romeo Santos - Aullando (Letra)","GOD LYRICS",3,"2026-01-04","2026-01-12",63488,141,2,"3.78",10
"8JURytJrjWc","MAX REACTS: Street Fighter 6 Alex Teaser","Maximilian Dood",3,"2026-01-11","2026-01-12",38467,3260,346,"8.15",20
"9wAPS_Cp3ps","SQUID CRAFT GAMES 4: POV DEL VILLANO 🦑💀","Farfadox",3,"2026-01-10","2026-01-12",540092,27705,1593,"109.43",20
"NEbFGaIlwFo","Daniel Agostini en vivo en Pasión de Sábado 10 01 2026 Parte 1","Pasión TV",3,"2026-01-10","2026-01-12",18261,227,0,"9.58",10
"JqZSehCOxc8","CONSEGUI EL BRAINROT MAS OP EN PVP COMPLETO (STEAL A BRAINROT ROBLOX)","Chuy Mine",3,"2026-01-11","2026-01-12",169980,4959,357,"22.8",20
"2wycfkk4f60","Nunca Me Faltes","Antonio Ríos - Topic",3,"2026-01-06","2026-01-12",42882,300,0,"4.15",10
"qjew1yoIQxs","Le Hice STREAM SNIPING a Mi CRUSH Como CRIATURA MARÍTIMA PROTECTORA en Criaturas del Sonaria","TurboBlox",3,"2026-01-11","2026-01-12",129769,2753,202,"15.88",20
"uVQK7251p5I","Yo Me Enamoré","Amar Azul - Topic",3,"2026-01-06","2026-01-12",123044,784,0,"3.22",10
"Wf6Ocyr42YM","STEAL A BRAINROT PERO LOS BRAINROT PUEDEN COMERTE 🤩😮","ChuuyMine",3,"2026-01-10","2026-01-12",955293,18404,747,"21.78",20
"c50IBD96vH4","Ryan Castro - LA VILLA (Letra/Lyrics) ft. Kapo & Gangsta","7clouds",3,"2026-01-10","2026-01-12",201148,1472,61,"3.22",10
"Lqs6R-lwsLo","ESCONDIDAS EXTREMO en BROOKHAVEN","SoyWelix",3,"2026-01-11","2026-01-12",136017,1671,104,"13.42",22
"rB503AM-SRc","Juan Gabriel - Así Fue (Letra)","Voces del Alma",3,"2026-01-09","2026-01-12",592170,1011,22,"6.32",22
"yLVDT4gRMmw","CUPHEAD PERO TATATITO JUEGA LOS JEFES 💀😂","RobleisIUTU",3,"2026-01-11","2026-01-12",291171,10021,95,"287.25",20
"Wex5WHUy4bY","HACELA CORTA MOROCHO REMIX","Palo - Topic",3,"2026-01-08","2026-01-12",124558,1752,15,"3.43",10
"OmpTZB5Sh9k","Cada Segundo +1 de VELOCIDAD para ESCAPAR DE LA MUERTE en Roblox!","Dagar Roblox",3,"2026-01-11","2026-01-12",188232,2450,178,"15.15",20
"wRJLmynZCVQ","Darell, Brytiago - VELITAS (Letra)","Sonalux",3,"2026-01-08","2026-01-12",71335,186,6,"3.78",10
"sH3tDhpZKkw","MANDO A CALLAR en la KINGS LEAGUE (+1000 DE AURA) 🤫","Markito Navaja",3,"2026-01-11","2026-01-12",14977,582,33,"35.97",24
"a45_83NQWAA","Sia - Cheap Thrills (Lyrics) ft. Sean Paul","Arcade Music",3,"2026-01-05","2026-01-12",871329,4155,19,"3.75",10
"wJ2USlOVg3w","South Park x FORTNITE es una LOCURA! 🤯","RobleisJAJA",3,"2026-01-10","2026-01-12",186542,6291,126,"36.3",20
"1dVvzr1TY1o","TAKABA VS KENJAKU (Jujutsu Kaisen) || Un Mal Chiste || DarckStar (Prod.IsuRMX)","DarckStar RAP",3,"2026-01-11","2026-01-12",16090,3134,266,"2.78",10
